É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2023/05/19 02:36:27

,êºã{,êºã{,êºã{
îNåéì˙éû,ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm)
,,ïiéøèÓïÒ,ãœéøî‘çÜ
2018/7/4 1:00:00,0.0,8,1
2018/7/4 2:00:00,0.0,8,1
2018/7/4 3:00:00,0.0,8,1
2018/7/4 4:00:00,0.0,8,1
2018/7/4 5:00:00,0.0,8,1
2018/7/4 6:00:00,0.0,8,1
2018/7/4 7:00:00,0.0,8,1
2018/7/4 8:00:00,0.0,8,1
2018/7/4 9:00:00,0.5,8,1
2018/7/4 10:00:00,0.0,8,1
2018/7/4 11:00:00,0.0,8,1
2018/7/4 12:00:00,0.0,8,1
2018/7/4 13:00:00,0.0,8,1
2018/7/4 14:00:00,0.5,8,1
2018/7/4 15:00:00,1.5,8,1
2018/7/4 16:00:00,0.0,8,1
2018/7/4 17:00:00,0.0,8,1
2018/7/4 18:00:00,0.0,8,1
2018/7/4 19:00:00,0.0,8,1
2018/7/4 20:00:00,0.0,8,1
2018/7/4 21:00:00,0.0,8,1
2018/7/4 22:00:00,0.0,8,1
2018/7/4 23:00:00,0.0,8,1
2018/7/5 00:00:00,0.5,8,1
2018/7/5 1:00:00,1.5,8,1
2018/7/5 2:00:00,6.0,8,1
2018/7/5 3:00:00,6.0,8,1
2018/7/5 4:00:00,3.0,8,1
2018/7/5 5:00:00,9.0,8,1
2018/7/5 6:00:00,8.0,8,1
2018/7/5 7:00:00,15.5,8,1
2018/7/5 8:00:00,23.0,8,1
2018/7/5 9:00:00,26.0,8,1
2018/7/5 10:00:00,15.0,8,1
2018/7/5 11:00:00,9.5,8,1
2018/7/5 12:00:00,13.0,8,1
2018/7/5 13:00:00,10.0,8,1
2018/7/5 14:00:00,6.5,8,1
2018/7/5 15:00:00,3.0,8,1
2018/7/5 16:00:00,3.0,8,1
2018/7/5 17:00:00,7.5,8,1
2018/7/5 18:00:00,5.5,8,1
2018/7/5 19:00:00,10.5,8,1
2018/7/5 20:00:00,11.5,8,1
2018/7/5 21:00:00,3.5,8,1
2018/7/5 22:00:00,12.5,8,1
2018/7/5 23:00:00,15.5,8,1
2018/7/6 00:00:00,6.0,8,1
2018/7/6 1:00:00,6.5,8,1
2018/7/6 2:00:00,14.0,8,1
2018/7/6 3:00:00,4.0,8,1
2018/7/6 4:00:00,4.5,8,1
2018/7/6 5:00:00,7.5,8,1
2018/7/6 6:00:00,10.5,8,1
2018/7/6 7:00:00,6.0,8,1
2018/7/6 8:00:00,6.5,8,1
2018/7/6 9:00:00,26.0,8,1
2018/7/6 10:00:00,4.5,8,1
2018/7/6 11:00:00,7.0,8,1
2018/7/6 12:00:00,19.0,8,1
2018/7/6 13:00:00,14.5,8,1
2018/7/6 14:00:00,10.0,8,1
2018/7/6 15:00:00,11.5,8,1
2018/7/6 16:00:00,3.5,8,1
2018/7/6 17:00:00,1.5,8,1
2018/7/6 18:00:00,1.0,8,1
2018/7/6 19:00:00,1.0,8,1
2018/7/6 20:00:00,1.5,8,1
2018/7/6 21:00:00,0.0,8,1
2018/7/6 22:00:00,0.5,8,1
2018/7/6 23:00:00,0.0,8,1
2018/7/7 00:00:00,2.5,8,1
2018/7/7 1:00:00,2.0,8,1
2018/7/7 2:00:00,1.5,8,1
2018/7/7 3:00:00,1.0,8,1
2018/7/7 4:00:00,2.0,8,1
2018/7/7 5:00:00,2.5,8,1
2018/7/7 6:00:00,3.0,8,1
2018/7/7 7:00:00,3.0,8,1
2018/7/7 8:00:00,2.5,8,1
2018/7/7 9:00:00,2.5,8,1
2018/7/7 10:00:00,11.0,8,1
2018/7/7 11:00:00,3.5,8,1
2018/7/7 12:00:00,2.0,8,1
2018/7/7 13:00:00,0.5,8,1
2018/7/7 14:00:00,0.0,8,1
2018/7/7 15:00:00,2.0,8,1
2018/7/7 16:00:00,6.5,8,1
2018/7/7 17:00:00,4.0,8,1
2018/7/7 18:00:00,2.0,8,1
2018/7/7 19:00:00,0.5,8,1
2018/7/7 20:00:00,0.5,8,1
2018/7/7 21:00:00,0.0,8,1
2018/7/7 22:00:00,0.0,8,1
2018/7/7 23:00:00,1.0,8,1
2018/7/8 00:00:00,0.0,8,1
2018/7/8 1:00:00,3.0,8,1
2018/7/8 2:00:00,0.5,8,1
2018/7/8 3:00:00,0.0,8,1
2018/7/8 4:00:00,0.0,8,1
2018/7/8 5:00:00,0.0,8,1
2018/7/8 6:00:00,0.0,8,1
2018/7/8 7:00:00,0.0,8,1
2018/7/8 8:00:00,0.0,8,1
2018/7/8 9:00:00,0.0,8,1
2018/7/8 10:00:00,0.0,8,1
2018/7/8 11:00:00,0.0,8,1
2018/7/8 12:00:00,0.0,8,1
2018/7/8 13:00:00,0.0,8,1
2018/7/8 14:00:00,0.0,8,1
2018/7/8 15:00:00,0.0,8,1
2018/7/8 16:00:00,0.0,8,1
2018/7/8 17:00:00,0.0,8,1
2018/7/8 18:00:00,0.0,8,1
2018/7/8 19:00:00,0.0,8,1
2018/7/8 20:00:00,0.0,8,1
2018/7/8 21:00:00,0.0,8,1
2018/7/8 22:00:00,0.0,8,1
2018/7/8 23:00:00,0.0,8,1
2018/7/9 00:00:00,0.0,8,1
